"ID","Category","Idea","Status","Priority","Research Notes","Sources","Draft Location","Published URL","Date Completed","Related IDs"
"DC254","The city hiding underneath the city","Which neighborhood names have disappeared from maps?","Idea","","","","","","",""
"DC255","The city hiding underneath the city","Which names survived after the places they described disappeared?","Idea","","","","","","",""
DC256,The city hiding underneath the city,Which selected corners had the most listed businesses in two historical city directories?,Idea,,,,,,,
"DC257","The city hiding underneath the city","Where did streetcar routes shape today’s commercial streets?","Idea","","","","","","",""
"DC258","The city hiding underneath the city","How far could you travel by streetcar in an hour?","Idea","","","","","","",""
"DC259","The city hiding underneath the city","Which former streetcar destination still draws crowds?","Idea","","","","","","",""
"DC260","The city hiding underneath the city","Where were the city’s public markets?","Idea","","","","","","",""
"DC261","The city hiding underneath the city","Which school building outlived the school it housed?","Idea","","","","","","",""
"DC262","The city hiding underneath the city","Which firehouse became something unexpected?","Idea","","","","","","",""
"DC263","The city hiding underneath the city","Where did a church become a different kind of gathering place?","Idea","","","","","","",""
"DC264","The city hiding underneath the city","Which building has changed addresses without moving?","Idea","","","","","","",""
"DC265","The city hiding underneath the city","Which building actually moved?","Idea","","","","","","",""
DC266,The city hiding underneath the city,How old is one surviving painted advertisement in Syracuse?,Idea,,,,,,,
"DC267","The city hiding underneath the city","Which historic photograph can be matched most precisely to today’s view?","Idea","","","","","","",""
"DC268","The city hiding underneath the city","Where has the skyline changed least?","Idea","","","","","","",""
"DC269","The city hiding underneath the city","Which ambitious proposed project survives only in a rendering?","Idea","","","","","","",""
"DC270","The city hiding underneath the city","What did Syracuse once confidently predict about its own future?","Idea","","","","","","",""
"DC271","City services and how daily life shows up in records","What is the most common Cityline request category?","Idea","","","","","","",""
"DC272","City services and how daily life shows up in records","Which request category has the strongest seasonal pattern?","Idea","","","","","","",""
"DC273","City services and how daily life shows up in records","What day of the week gets the most requests?","Idea","","","","","","",""
"DC274","City services and how daily life shows up in records","What time of day do people report problems?","Idea","","","","","","",""
"DC275","City services and how daily life shows up in records","How different are weekend requests from weekday requests?","Idea","","","","","","",""
"DC276","City services and how daily life shows up in records","Which request types spike after heavy rain?","Idea","","","","","","",""
"DC277","City services and how daily life shows up in records","Which request types spike after a thaw?","Idea","","","","","","",""
"DC278","City services and how daily life shows up in records","How long after a windstorm do tree-related requests peak?","Idea","","","","","","",""
"DC279","City services and how daily life shows up in records","What does the annual pothole-reporting season look like?","Idea","","","","","","",""
"DC280","City services and how daily life shows up in records","Does pothole-reporting season move around with the weather?","Idea","","","","","","",""
"DC281","City services and how daily life shows up in records","Which categories contain problems that seem to belong elsewhere?","Idea","","","","","","",""
"DC282","City services and how daily life shows up in records","How often do residents use “other,” and for what broad themes?","Idea","","","","","","",""
DC283,City services and how daily life shows up in records,When do request labels first appear or disappear in the Cityline extract?,Idea,,,,,,,
DC284,City services and how daily life shows up in records,How many Cityline reports look like possible repeats under a stated rule?,Idea,,,,,,,
"DC285","City services and how daily life shows up in records","How much does deduplication change the apparent map of problems?","Idea","","","","","","",""
"DC286","City services and how daily life shows up in records","Where do requests cluster after accounting for street length?","Idea","","","","","","",""
"DC287","City services and how daily life shows up in records","How different are request counts per resident and per street mile?","Idea","","","","","","",""
"DC288","City services and how daily life shows up in records","Which neighborhoods report a wider variety of issues?","Idea","","","","","","",""
"DC289","City services and how daily life shows up in records","What share of requests concern a handful of recurring locations?","Idea","","","","","","",""
"DC290","City services and how daily life shows up in records","How does recorded closure time vary by request type?","Idea","","","","","","",""
"DC291","City services and how daily life shows up in records","How much do a few very old requests distort average closure time?","Idea","","","","","","",""
"DC292","City services and how daily life shows up in records","What does “closed” actually mean in the service-request data?","Idea","","","","","","",""
DC293,City services and how daily life shows up in records,Which Cityline categories have the largest share without a recorded closure date?,Idea,,,,,,,
"DC294","City services and how daily life shows up in records","What does one ordinary day of city-service requests look like?","Idea","","","","","","",""
"DC295","City services and how daily life shows up in records","Which public assets generate surprisingly few reports?","Idea","","","","","","",""
"DC296","City services and how daily life shows up in records","How do reported streetlight problems change as nights get longer?","Idea","","","","","","",""
"DC297","City services and how daily life shows up in records","How much street paving happens in a typical year?","Idea","","","","","","",""
"DC298","City services and how daily life shows up in records","Where have water-main breaks recurred on the same street?","Idea","","","","","","",""
"DC299","City services and how daily life shows up in records","How does recorded water-main-break seasonality compare with temperature?","Idea","","","","","","",""
"DC300","City services and how daily life shows up in records","What city work is easy to count but hard to explain?","Idea","","","","","","",""
"DC301","Numbers that challenge local intuition","Is Syracuse closer to New York City or another major city?","Idea","","","","","","",""
"DC302","Numbers that challenge local intuition","How many people live within one mile of downtown?","Idea","","","","","","",""
"DC303","Numbers that challenge local intuition","How many live within a mile of the city boundary?","Idea","","","","","","",""
"DC304","Numbers that challenge local intuition","Which part of Syracuse is farthest from the city limits?","Idea","","","","","","",""
"DC305","Numbers that challenge local intuition","How much of the city lies within walking distance of its boundary?","Idea","","","","","","",""
"DC306","Numbers that challenge local intuition","Which neighborhood’s population center sits somewhere unexpected?","Idea","","","","","","",""
DC307,Numbers that challenge local intuition,Where are workplace jobs concentrated compared with resident workers?,Idea,,,,,,,
"DC308","Numbers that challenge local intuition","Where do household size and housing-unit density tell different stories?","Idea","","","","","","",""
"DC309","Numbers that challenge local intuition","Which areas have lots of bedrooms but relatively few children?","Idea","","","","","","",""
DC310,Numbers that challenge local intuition,Where do college enrollment and group quarters complicate neighborhood population comparisons?,Idea,,,,,,,
"DC311","Numbers that challenge local intuition","Where are the biggest differences between city and ZIP-code statistics?","Idea","","","","","","",""
"DC312","Numbers that challenge local intuition","How much does the answer change when “Syracuse” means the metro area?","Idea","","","","","","",""
"DC313","Numbers that challenge local intuition","Which Census tract changed shape enough to complicate historical comparisons?","Idea","","","","","","",""
"DC314","Numbers that challenge local intuition","What looks dramatic on a map but represents very few people?","Idea","","","","","","",""
"DC315","Numbers that challenge local intuition","Which neighborhood ranking disappears after accounting for uncertainty?","Idea","","","","","","",""
"DC316","Numbers that challenge local intuition","How much can a citywide average hide between neighborhoods?","Idea","","","","","","",""
"DC317","Numbers that challenge local intuition","Which areas have the most residents who recently moved?","Idea","","","","","","",""
"DC318","Numbers that challenge local intuition","Which have the most residents living in their birth state?","Idea","","","","","","",""
"DC319","Numbers that challenge local intuition","How has the share of households without cars changed?","Idea","","","","","","",""
DC320,Numbers that challenge local intuition,How do reported commute times differ between transit riders and drivers?,Idea,,,,,,,
"DC321","Numbers that challenge local intuition","How does working from home vary across the city?","Idea","","","","","","",""
"DC322","Numbers that challenge local intuition","Which occupations are unusually common here compared with the country?","Idea","","","","","","",""
"DC323","Numbers that challenge local intuition","How do Syracuse’s housing ages compare with those of peer cities?","Idea","","","","","","",""
"DC324","Numbers that challenge local intuition","Is Syracuse unusually compact for a city of its population?","Idea","","","","","","",""
DC325,Numbers that challenge local intuition,How many miles of mapped public streets fit inside Syracuse?,Idea,,,,,,,
"DC326","Numbers that challenge local intuition","How much of downtown is surface parking?","Idea","","","","","","",""
"DC327","Numbers that challenge local intuition","How many football fields fit inside downtown’s surface parking lots?","Idea","","","","","","",""
"DC328","Numbers that challenge local intuition","How much land would one parking space per resident occupy?","Idea","","","","","","",""
"DC329","Numbers that challenge local intuition","What would Syracuse look like if neighborhoods had equal populations?","Idea","","","","","","",""
"DC330","Numbers that challenge local intuition","What is the most misleading technically correct statistic you can make about Syracuse?","Idea","","","","","","",""
"DC331","Field trips, friendly arguments, and delightfully unnecessary investigations","Can you walk a route that spells “SYRACUSE”?","Idea","","","","","","",""
"DC332","Field trips, friendly arguments, and delightfully unnecessary investigations","What is the shortest walk that visits five neighborhoods?","Idea","","","","","","",""
"DC333","Field trips, friendly arguments, and delightfully unnecessary investigations","Can you visit every presidential street in chronological order?","Idea","","","","","","",""
"DC334","Field trips, friendly arguments, and delightfully unnecessary investigations","What is the shortest route through every tree-named street?","Idea","","","","","","",""
"DC335","Field trips, friendly arguments, and delightfully unnecessary investigations","Can you walk uphill to a place whose name suggests it is downhill?","Idea","","","","","","",""
"DC336","Field trips, friendly arguments, and delightfully unnecessary investigations","Which “view” street names still deliver a view?","Idea","","","","","","",""
"DC337","Field trips, friendly arguments, and delightfully unnecessary investigations","Which “park” street names are nowhere near a park?","Idea","","","","","","",""
"DC338","Field trips, friendly arguments, and delightfully unnecessary investigations","Which “lake” or “water” names preserve a vanished feature?","Idea","","","","","","",""
"DC339","Field trips, friendly arguments, and delightfully unnecessary investigations","Where is the best public spot to photograph the most steeples?","Idea","","","","","","",""
"DC340","Field trips, friendly arguments, and delightfully unnecessary investigations","Which public viewpoint reveals the most different construction decades?","Idea","","","","","","",""
"DC341","Field trips, friendly arguments, and delightfully unnecessary investigations","Can one photograph capture a century of building styles?","Idea","","","","","","",""
"DC342","Field trips, friendly arguments, and delightfully unnecessary investigations","What is the most colorful block, using a repeatable photo method?","Idea","","","","","","",""
"DC343","Field trips, friendly arguments, and delightfully unnecessary investigations","How many different paving materials appear on one short walk?","Idea","","","","","","",""
"DC344","Field trips, friendly arguments, and delightfully unnecessary investigations","Which block has the most different fence styles?","Idea","","","","","","",""
"DC345","Field trips, friendly arguments, and delightfully unnecessary investigations","What is the longest row of visibly different front doors?","Idea","","","","","","",""
"DC346","Field trips, friendly arguments, and delightfully unnecessary investigations","Where can you find the most dates carved into buildings?","Idea","","","","","","",""
"DC347","Field trips, friendly arguments, and delightfully unnecessary investigations","What is the oldest date visible from a public sidewalk?","Idea","","","","","","",""
"DC348","Field trips, friendly arguments, and delightfully unnecessary investigations","How many clocks can you see on a downtown walk?","Idea","","","","","","",""
"DC349","Field trips, friendly arguments, and delightfully unnecessary investigations","Do the public clocks agree about the time?","Idea","","","","","","",""
"DC350","Field trips, friendly arguments, and delightfully unnecessary investigations","Which public clock is easiest to read from far away?","Idea","","","","","","",""
"DC351","Field trips, friendly arguments, and delightfully unnecessary investigations","How many lions, eagles, and other stone animals guard Syracuse buildings?","Idea","","","","","","",""
"DC352","Field trips, friendly arguments, and delightfully unnecessary investigations","Which block contains the most architectural faces looking back at you?","Idea","","","","","","",""
"DC353","Field trips, friendly arguments, and delightfully unnecessary investigations","Where can you spot initials whose owners have been forgotten?","Idea","","","","","","",""
"DC354","Field trips, friendly arguments, and delightfully unnecessary investigations","How many historical plaques can you visit in thirty minutes?","Idea","","","","","","",""
"DC355","Field trips, friendly arguments, and delightfully unnecessary investigations","What do historical plaques leave out about the surrounding block?","Idea","","","","","","",""
"DC356","Field trips, friendly arguments, and delightfully unnecessary investigations","Which street has the strongest mismatch between its name and appearance?","Idea","","","","","","",""
"DC357","Field trips, friendly arguments, and delightfully unnecessary investigations","Can locals identify neighborhoods from street-grid shapes alone?","Idea","","","","","","",""
"DC358","Field trips, friendly arguments, and delightfully unnecessary investigations","Can locals identify a place from one tiny map fragment?","Idea","","","","","","",""
"DC359","Field trips, friendly arguments, and delightfully unnecessary investigations","Can locals guess which of two buildings is older?","Idea","","","","","","",""
"DC360","Field trips, friendly arguments, and delightfully unnecessary investigations","Which everyday trip do residents most overestimate in distance?","Idea","","","","","","",""
"DC361","Field trips, friendly arguments, and delightfully unnecessary investigations","Does “everything is twenty minutes away” survive a defined travel-time test?","Idea","","","","","","",""
"DC362","Field trips, friendly arguments, and delightfully unnecessary investigations","Where would you put a bench after walking the same route with different people?","Idea","","","","","","",""
"DC363","Field trips, friendly arguments, and delightfully unnecessary investigations","What changes when you photograph the same corner every month?","Idea","","","","","","",""
"DC364","Field trips, friendly arguments, and delightfully unnecessary investigations","What is one thing a longtime resident noticed that the maps missed?","Idea","","","","","","",""
"DC365","Field trips, friendly arguments, and delightfully unnecessary investigations","Which reader question seemed silly but led to the best discovery?","Idea","","","","","","",""
"DC366","Streets, names, and the small absurdities of geography","Which Syracuse street names rhyme?","Idea","","Find rhyming pairs and clusters using the name before its street-type suffix; distinguish exact and near rhymes, verify local pronunciations, and map how close the matches are. Shared suffixes alone do not count as rhymes.","datacuse-data-guide.md#streets","","","",""
"DC367","Streets, names, and the small absurdities of geography","Which streets are named for prominent Syracuse people, including mayors?","Idea","","Build a documented list of local namesakes, starting with mayors and expanding to other notable Syracuse residents; map their streets and compare who is commemorated. Confirm naming origins with historical records rather than treating surname matches as proof.","datacuse-data-guide.md#streets; datacuse-data-guide.md#history","","","","DC012"
"DC368","Streets, names, and the small absurdities of geography","Can Syracuse addresses make 867-5309?","Idea","","Look for actual house numbers 867 and 5309 on different properties, ideally on the same street; otherwise map the nearest pair. Also test the closest single address by a stated digit-similarity rule, and separately by numeric distance to 8675309. Potential headline: Jenny, we found your addresses. Verify city limits and actual address records; do not infer houses from street address ranges.","datacuse-data-guide.md#parcels; datacuse-data-guide.md#streets; Address-point source to locate","","","","DC369"
"DC369","Streets, names, and the small absurdities of geography","Where is Syracuse at its most 6-7?","Idea","","Rank house numbers by occurrences of consecutive 67, then separately by total digits that are 6 or 7. Find streets with the most qualifying addresses and compare their share of all addresses. Possible bonus: nearest pair of actual house numbers 6 and 7. Potential headline: Six appeal. Use house numbers only, excluding ZIP codes and unit numbers; deduplicate address records and report ties.","datacuse-data-guide.md#parcels; datacuse-data-guide.md#streets; Address-point source to locate","","","","DC368"
